variable,date,best_model,rmse_vs_era5,correlation_vs_era5
Air temperature,2015-07-04,RBF linear,261.75565331229797,0.5834750011532769
Air temperature,2015-07-05,RBF linear,266.35646626564284,0.4990258159014476
Air temperature,2015-07-06,RBF linear,270.5997552284571,0.682514055141187
Air temperature,2015-07-07,RBF linear,272.6308134600673,0.887280874985942
Air temperature,2015-07-08,RBF linear,274.0750494321937,0.7020218270388685
Air temperature,2015-07-09,RBF linear,273.41492009631037,0.45350963709595715
Air temperature,2015-07-10,RBF linear,267.01827880250875,0.6280495142247118
Air temperature,2015-07-11,RBF linear,261.3261418142993,0.5894420374924858
Air temperature,2015-07-12,RBF linear,257.8745837908423,0.36676264471872283
Air temperature,2015-08-01,RBF linear,246.56994833815946,0.3722077178814743
Air temperature,2015-08-02,RBF linear,256.35284749441604,0.605154480434028
Air temperature,2015-08-03,RBF linear,256.80070227183637,0.6030011335847829
Air temperature,2015-08-04,RBF linear,261.5778216692929,0.7387008975023096
Air temperature,2015-08-05,RBF linear,265.8474021766686,0.5606979531755263
Air temperature,2015-08-06,RBF linear,271.38920230001577,0.7160193789691911
Air temperature,2015-08-07,RBF linear,271.71746806053386,0.7606984832697572
Air temperature,2015-08-08,RBF linear,273.0575856461469,0.8795752528492197
Air temperature,2015-08-09,RBF linear,272.59880834974155,0.696514984561204
Air temperature,2015-08-10,RBF linear,266.8195289365801,0.701810953338974
Air temperature,2015-08-11,RBF linear,259.9531473696315,0.5878646912614476
Air temperature,2015-08-12,RBF linear,258.39239323407844,0.5143039176238626
Air temperature,2015-09-01,RBF linear,249.1264377899448,0.3157538554210689
Air temperature,2015-09-02,RBF linear,255.64834734824774,0.35542017822719507
Air temperature,2015-09-03,RBF linear,258.5806441913466,0.44021234780030577
Air temperature,2015-09-04,RBF linear,262.5747115624519,0.6198907732105093
Air temperature,2015-09-05,RBF linear,266.5359321946229,0.6382739719342666
Air temperature,2015-09-06,RBF linear,272.8967396175219,0.6100639116684021
Air temperature,2015-09-07,RBF linear,272.71123712291603,0.640540461768883
