variable,model,rmse,correlation
Air temperature,RBF linear,2.2888047923008217,0.9581071846976664
Precipitation,Linear,5.265304690401305,0.643162900099248
Relative humidity,RBF linear,9.917792673576267,0.7924812090117453
Soil moisture 10cm,Kriging spherical,0.09696748429436171,0.5830672417534223
Soil temperature,RBF linear,2.7228760097869475,0.9486179005188845
